------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Fitter Resource Utilization by Entity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;
+---------------------------------------------------------------------------------+----------------------+----------------------------------+---------------------------------------------------+----------------------------------+----------------------+---------------------+---------------------------+---------------+-------------------+-------+------------+------+--------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+--------------+
; Compilation Hierarchy Node                                                      ; ALMs needed [=A-B+C] ; [A] ALMs used in final placement ; [B] Estimate of ALMs recoverable by dense packing ; [C] Estimate of ALMs unavailable ; ALMs used for memory ; Combinational ALUTs ; Dedicated Logic Registers ; I/O Registers ; Block Memory Bits ; M20Ks ; DSP Blocks ; Pins ; Virtual Pins ; Full Hierarchy Name                                                                                                                                                                                                                                         ; Entity Name     ; Library Name ;
+---------------------------------------------------------------------------------+----------------------+----------------------------------+---------------------------------------------------+----------------------------------+----------------------+---------------------+---------------------------+---------------+-------------------+-------+------------+------+--------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+--------------+
;       |DotProduct:\DotProduct_loop:102:DotProduct_i|                            ; 1610.9 (0.0)         ; 2259.9 (0.0)                     ; 649.0 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2801 (0)            ; 1906 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:102:DotProduct_i                                                                                                                                                                                 ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 720.0 (720.0)        ; 983.4 (983.4)                    ; 263.4 (263.4)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 213 (213)           ; 1888 (1888)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:102:DotProduct_i|MCM:MCM_i                                                                                                                                                                       ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 890.9 (890.9)        ; 1276.5 (1276.5)                  ; 385.6 (385.6)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2588 (2588)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:102:DotProduct_i|MOA:MOA_i                                                                                                                                                                       ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:103:DotProduct_i|                            ; 1941.6 (0.0)         ; 2758.2 (0.0)                     ; 816.6 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 3334 (0)            ; 2254 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:103:DotProduct_i                                                                                                                                                                                 ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 804.2 (804.2)        ; 1133.2 (1133.2)                  ; 329.0 (329.0)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 66 (66)             ; 2236 (2236)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:103:DotProduct_i|MCM:MCM_i                                                                                                                                                                       ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 1137.4 (1137.4)      ; 1625.0 (1625.0)                  ; 487.6 (487.6)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 3268 (3268)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:103:DotProduct_i|MOA:MOA_i                                                                                                                                                                       ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:104:DotProduct_i|                            ; 1215.7 (0.0)         ; 1695.0 (0.0)                     ; 479.3 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2091 (0)            ; 1486 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:104:DotProduct_i                                                                                                                                                                                 ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 579.0 (579.0)        ; 781.8 (781.8)                    ; 202.8 (202.8)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 230 (230)           ; 1468 (1468)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:104:DotProduct_i|MCM:MCM_i                                                                                                                                                                       ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 636.7 (636.7)        ; 913.2 (913.2)                    ; 276.5 (276.5)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 1861 (1861)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:104:DotProduct_i|MOA:MOA_i                                                                                                                                                                       ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:105:DotProduct_i|                            ; 917.9 (0.0)          ; 1056.4 (0.0)                     ; 138.5 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2112 (0)            ; 1147 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:105:DotProduct_i                                                                                                                                                                                 ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 594.6 (594.6)        ; 597.9 (597.9)                    ; 3.3 (3.3)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 1193 (1193)         ; 1129 (1129)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:105:DotProduct_i|MCM:MCM_i                                                                                                                                                                       ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 323.3 (323.3)        ; 458.5 (458.5)                    ; 135.2 (135.2)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 919 (919)           ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:105:DotProduct_i|MOA:MOA_i                                                                                                                                                                       ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:106:DotProduct_i|                            ; 1144.3 (0.0)         ; 1624.8 (0.0)                     ; 480.5 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 1811 (0)            ; 1494 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:106:DotProduct_i                                                                                                                                                                                 ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 523.8 (523.8)        ; 740.0 (740.0)                    ; 216.2 (216.2)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 31 (31)             ; 1476 (1476)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:106:DotProduct_i|MCM:MCM_i                                                                                                                                                                       ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 620.5 (620.5)        ; 884.8 (884.8)                    ; 264.3 (264.3)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 1780 (1780)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:106:DotProduct_i|MOA:MOA_i                                                                                                                                                                       ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:107:DotProduct_i|                            ; 2080.8 (0.0)         ; 2950.8 (0.0)                     ; 870.0 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 3732 (0)            ; 2266 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:107:DotProduct_i                                                                                                                                                                                 ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 815.7 (815.7)        ; 1144.1 (1144.1)                  ; 328.4 (328.4)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 104 (104)           ; 2248 (2248)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:107:DotProduct_i|MCM:MCM_i                                                                                                                                                                       ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 1265.1 (1265.1)      ; 1806.7 (1806.7)                  ; 541.6 (541.6)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 3628 (3628)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:107:DotProduct_i|MOA:MOA_i                                                                                                                                                                       ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:108:DotProduct_i|                            ; 1238.8 (0.0)         ; 1427.4 (0.0)                     ; 188.6 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2930 (0)            ; 1429 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:108:DotProduct_i                                                                                                                                                                                 ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 830.1 (830.1)        ; 847.1 (847.1)                    ; 17.0 (17.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 1768 (1768)         ; 1411 (1411)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:108:DotProduct_i|MCM:MCM_i                                                                                                                                                                       ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 408.7 (408.7)        ; 580.3 (580.3)                    ; 171.6 (171.6)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 1162 (1162)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:108:DotProduct_i|MOA:MOA_i                                                                                                                                                                       ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:109:DotProduct_i|                            ; 1536.8 (0.0)         ; 2178.7 (0.0)                     ; 642.0 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2525 (0)            ; 1919 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:109:DotProduct_i                                                                                                                                                                                 ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 677.9 (677.9)        ; 954.4 (954.4)                    ; 276.5 (276.5)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 71 (71)             ; 1901 (1901)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:109:DotProduct_i|MCM:MCM_i                                                                                                                                                                       ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 858.9 (858.9)        ; 1224.3 (1224.3)                  ; 365.5 (365.5)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2454 (2454)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:109:DotProduct_i|MOA:MOA_i                                                                                                                                                                       ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:10:DotProduct_i|                             ; 1199.0 (0.0)         ; 1705.6 (0.0)                     ; 506.6 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 1843 (0)            ; 1601 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:10:DotProduct_i                                                                                                                                                                                  ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 561.7 (561.7)        ; 797.6 (797.6)                    ; 235.8 (235.8)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 20 (20)             ; 1583 (1583)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:10:DotProduct_i|MCM:MCM_i                                                                                                                                                                        ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 637.2 (637.2)        ; 908.0 (908.0)                    ; 270.8 (270.8)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 1823 (1823)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:10:DotProduct_i|MOA:MOA_i                                                                                                                                                                        ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:110:DotProduct_i|                            ; 1442.4 (0.0)         ; 2052.1 (0.0)                     ; 609.7 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2298 (0)            ; 1850 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:110:DotProduct_i                                                                                                                                                                                 ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 644.7 (644.7)        ; 915.7 (915.7)                    ; 271.1 (271.1)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 23 (23)             ; 1832 (1832)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:110:DotProduct_i|MCM:MCM_i                                                                                                                                                                       ; MCM             ; work         ;
