------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Fitter Resource Utilization by Entity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;
+---------------------------------------------------------------------------------+----------------------+----------------------------------+---------------------------------------------------+----------------------------------+----------------------+---------------------+---------------------------+---------------+-------------------+-------+------------+------+--------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+--------------+
; Compilation Hierarchy Node                                                      ; ALMs needed [=A-B+C] ; [A] ALMs used in final placement ; [B] Estimate of ALMs recoverable by dense packing ; [C] Estimate of ALMs unavailable ; ALMs used for memory ; Combinational ALUTs ; Dedicated Logic Registers ; I/O Registers ; Block Memory Bits ; M20Ks ; DSP Blocks ; Pins ; Virtual Pins ; Full Hierarchy Name                                                                                                                                                                                                                                         ; Entity Name     ; Library Name ;
+---------------------------------------------------------------------------------+----------------------+----------------------------------+---------------------------------------------------+----------------------------------+----------------------+---------------------+---------------------------+---------------+-------------------+-------+------------+------+--------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+--------------+
;          |MOA:MOA_i|                                                            ; 958.7 (958.7)        ; 1369.3 (1369.3)                  ; 410.6 (410.6)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2755 (2755)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:14:DotProduct_i|MOA:MOA_i                                                                                                                                                                        ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:15:DotProduct_i|                             ; 1633.5 (0.0)         ; 2320.7 (0.0)                     ; 687.3 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2741 (0)            ; 2005 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:15:DotProduct_i                                                                                                                                                                                  ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 700.0 (700.0)        ; 986.2 (986.2)                    ; 286.2 (286.2)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 50 (50)             ; 1987 (1987)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:15:DotProduct_i|MCM:MCM_i                                                                                                                                                                        ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 933.5 (933.5)        ; 1334.5 (1334.5)                  ; 401.0 (401.0)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2691 (2691)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:15:DotProduct_i|MOA:MOA_i                                                                                                                                                                        ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:16:DotProduct_i|                             ; 1841.8 (0.0)         ; 2621.7 (0.0)                     ; 779.8 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 3016 (0)            ; 2295 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:16:DotProduct_i                                                                                                                                                                                  ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 798.6 (798.6)        ; 1131.7 (1131.7)                  ; 333.1 (333.1)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 20 (20)             ; 2277 (2277)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:16:DotProduct_i|MCM:MCM_i                                                                                                                                                                        ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 1043.2 (1043.2)      ; 1490.0 (1490.0)                  ; 446.8 (446.8)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2996 (2996)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:16:DotProduct_i|MOA:MOA_i                                                                                                                                                                        ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:17:DotProduct_i|                             ; 1846.0 (0.0)         ; 2622.5 (0.0)                     ; 776.5 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 3171 (0)            ; 2137 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:17:DotProduct_i                                                                                                                                                                                  ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 762.9 (762.9)        ; 1074.7 (1074.7)                  ; 311.7 (311.7)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 55 (55)             ; 2119 (2119)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:17:DotProduct_i|MCM:MCM_i                                                                                                                                                                        ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 1083.1 (1083.1)      ; 1547.8 (1547.8)                  ; 464.8 (464.8)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 3116 (3116)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:17:DotProduct_i|MOA:MOA_i                                                                                                                                                                        ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:18:DotProduct_i|                             ; 1822.6 (0.0)         ; 2588.5 (0.0)                     ; 765.9 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 3087 (0)            ; 2164 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:18:DotProduct_i                                                                                                                                                                                  ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 772.2 (772.2)        ; 1086.7 (1086.7)                  ; 314.4 (314.4)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 60 (60)             ; 2146 (2146)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:18:DotProduct_i|MCM:MCM_i                                                                                                                                                                        ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 1050.4 (1050.4)      ; 1501.8 (1501.8)                  ; 451.4 (451.4)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 3027 (3027)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:18:DotProduct_i|MOA:MOA_i                                                                                                                                                                        ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:19:DotProduct_i|                             ; 1820.0 (0.0)         ; 2584.7 (0.0)                     ; 764.7 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2975 (0)            ; 2265 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:19:DotProduct_i                                                                                                                                                                                  ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 814.7 (814.7)        ; 1147.0 (1147.0)                  ; 332.3 (332.3)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 75 (75)             ; 2247 (2247)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:19:DotProduct_i|MCM:MCM_i                                                                                                                                                                        ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 1005.3 (1005.3)      ; 1437.7 (1437.7)                  ; 432.4 (432.4)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2900 (2900)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:19:DotProduct_i|MOA:MOA_i                                                                                                                                                                        ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:1:DotProduct_i|                              ; 880.4 (0.0)          ; 1248.8 (0.0)                     ; 368.5 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 1335 (0)            ; 1215 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:1:DotProduct_i                                                                                                                                                                                   ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 427.0 (427.0)        ; 604.3 (604.3)                    ; 177.3 (177.3)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 43 (43)             ; 1197 (1197)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:1:DotProduct_i|MCM:MCM_i                                                                                                                                                                         ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 453.4 (453.4)        ; 644.5 (644.5)                    ; 191.1 (191.1)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 1292 (1292)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:1:DotProduct_i|MOA:MOA_i                                                                                                                                                                         ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:20:DotProduct_i|                             ; 1874.7 (0.0)         ; 2658.7 (0.0)                     ; 784.0 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 3333 (0)            ; 2062 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:20:DotProduct_i                                                                                                                                                                                  ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 749.1 (749.1)        ; 1052.7 (1052.7)                  ; 303.6 (303.6)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 113 (113)           ; 2044 (2044)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:20:DotProduct_i|MCM:MCM_i                                                                                                                                                                        ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 1125.6 (1125.6)      ; 1606.0 (1606.0)                  ; 480.4 (480.4)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 3220 (3220)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:20:DotProduct_i|MOA:MOA_i                                                                                                                                                                        ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:21:DotProduct_i|                             ; 1538.8 (0.0)         ; 2193.3 (0.0)                     ; 654.6 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2541 (0)            ; 1910 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:21:DotProduct_i                                                                                                                                                                                  ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 663.3 (663.3)        ; 945.0 (945.0)                    ; 281.7 (281.7)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 38 (38)             ; 1892 (1892)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:21:DotProduct_i|MCM:MCM_i                                                                                                                                                                        ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 875.5 (875.5)        ; 1248.3 (1248.3)                  ; 372.8 (372.8)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2503 (2503)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:21:DotProduct_i|MOA:MOA_i                                                                                                                                                                        ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:22:DotProduct_i|                             ; 1186.3 (0.0)         ; 1403.5 (0.0)                     ; 217.2 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2783 (0)            ; 1242 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:22:DotProduct_i                                                                                                                                                                                  ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 696.0 (696.0)        ; 707.0 (707.0)                    ; 11.0 (11.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 1390 (1390)         ; 1224 (1224)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:22:DotProduct_i|MCM:MCM_i                                                                                                                                                                        ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 490.2 (490.2)        ; 696.5 (696.5)                    ; 206.3 (206.3)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 1393 (1393)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:22:DotProduct_i|MOA:MOA_i                                                                                                                                                                        ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:23:DotProduct_i|                             ; 1740.8 (0.0)         ; 2476.5 (0.0)                     ; 735.7 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2930 (0)            ; 2078 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:23:DotProduct_i                                                                                                                                                                                  ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 738.7 (738.7)        ; 1047.2 (1047.2)                  ; 308.4 (308.4)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 64 (64)             ; 2060 (2060)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:23:DotProduct_i|MCM:MCM_i                                                                                                                                                                        ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 1002.1 (1002.1)      ; 1429.3 (1429.3)                  ; 427.3 (427.3)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2866 (2866)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:23:DotProduct_i|MOA:MOA_i                                                                                                                                                                        ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:24:DotProduct_i|                             ; 2073.5 (0.0)         ; 2953.5 (0.0)                     ; 880.0 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 3607 (0)            ; 2347 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:24:DotProduct_i                                                                                                                                                                                  ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 823.6 (823.6)        ; 1168.5 (1168.5)                  ; 344.9 (344.9)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 22 (22)             ; 2329 (2329)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:24:DotProduct_i|MCM:MCM_i                                                                                                                                                                        ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 1249.9 (1249.9)      ; 1785.0 (1785.0)                  ; 535.1 (535.1)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 3585 (3585)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:24:DotProduct_i|MOA:MOA_i                                                                                                                                                                        ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:25:DotProduct_i|                             ; 1419.7 (0.0)         ; 2005.1 (0.0)                     ; 585.4 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2434 (0)            ; 1684 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:25:DotProduct_i                                                                                                                                                                                  ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 618.1 (618.1)        ; 860.1 (860.1)                    ; 242.0 (242.0)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 127 (127)           ; 1666 (1666)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:25:DotProduct_i|MCM:MCM_i                                                                                                                                                                        ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 801.6 (801.6)        ; 1145.0 (1145.0)                  ; 343.4 (343.4)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2307 (2307)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:25:DotProduct_i|MOA:MOA_i                                                                                                                                                                        ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:26:DotProduct_i|                             ; 1736.2 (0.0)         ; 2455.8 (0.0)                     ; 719.7 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 3026 (0)            ; 1995 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:26:DotProduct_i                                                                                                                                                                                  ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 722.9 (722.9)        ; 1009.2 (1009.2)                  ; 286.2 (286.2)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 119 (119)           ; 1977 (1977)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:26:DotProduct_i|MCM:MCM_i                                                                                                                                                                        ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 1013.2 (1013.2)      ; 1446.7 (1446.7)                  ; 433.4 (433.4)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2907 (2907)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:26:DotProduct_i|MOA:MOA_i                                                                                                                                                                        ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:27:DotProduct_i|                             ; 590.5 (0.0)          ; 820.0 (0.0)                      ; 229.5 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 837 (0)             ; 912 (0)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:27:DotProduct_i                                                                                                                                                                                  ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 329.3 (329.3)        ; 450.8 (450.8)                    ; 121.5 (121.5)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 99 (99)             ; 894 (894)                 ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:27:DotProduct_i|MCM:MCM_i                                                                                                                                                                        ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 261.2 (261.2)        ; 369.2 (369.2)                    ; 108.0 (108.0)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 738 (738)           ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:27:DotProduct_i|MOA:MOA_i                                                                                                                                                                        ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:28:DotProduct_i|                             ; 860.9 (0.0)          ; 1002.4 (0.0)                     ; 141.5 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2014 (0)            ; 973 (0)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:28:DotProduct_i                                                                                                                                                                                  ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 544.8 (544.8)        ; 554.4 (554.4)                    ; 9.6 (9.6)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 1117 (1117)         ; 955 (955)                 ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:28:DotProduct_i|MCM:MCM_i                                                                                                                                                                        ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 316.1 (316.1)        ; 448.0 (448.0)                    ; 131.9 (131.9)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 897 (897)           ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:28:DotProduct_i|MOA:MOA_i                                                                                                                                                                        ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:29:DotProduct_i|                             ; 1461.9 (0.0)         ; 2084.2 (0.0)                     ; 622.3 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2387 (0)            ; 1814 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:29:DotProduct_i                                                                                                                                                                                  ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 626.9 (626.9)        ; 894.7 (894.7)                    ; 267.8 (267.8)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 6 (6)               ; 1796 (1796)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:29:DotProduct_i|MCM:MCM_i                                                                                                                                                                        ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 835.0 (835.0)        ; 1189.5 (1189.5)                  ; 354.5 (354.5)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2381 (2381)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:29:DotProduct_i|MOA:MOA_i                                                                                                                                                                        ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:2:DotProduct_i|                              ; 753.8 (0.0)          ; 1062.3 (0.0)                     ; 308.4 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 1083 (0)            ; 1109 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:2:DotProduct_i                                                                                                                                                                                   ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 395.9 (395.9)        ; 554.7 (554.7)                    ; 158.9 (158.9)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 68 (68)             ; 1091 (1091)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:2:DotProduct_i|MCM:MCM_i                                                                                                                                                                         ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 357.9 (357.9)        ; 507.5 (507.5)                    ; 149.6 (149.6)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 1015 (1015)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:2:DotProduct_i|MOA:MOA_i                                                                                                                                                                         ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:30:DotProduct_i|                             ; 1856.8 (0.0)         ; 2631.5 (0.0)                     ; 774.7 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 3213 (0)            ; 2154 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:30:DotProduct_i                                                                                                                                                                                  ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 780.9 (780.9)        ; 1092.0 (1092.0)                  ; 311.1 (311.1)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 105 (105)           ; 2136 (2136)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:30:DotProduct_i|MCM:MCM_i                                                                                                                                                                        ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 1075.9 (1075.9)      ; 1539.5 (1539.5)                  ; 463.6 (463.6)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 3108 (3108)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:30:DotProduct_i|MOA:MOA_i                                                                                                                                                                        ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:31:DotProduct_i|                             ; 942.6 (0.0)          ; 1325.8 (0.0)                     ; 383.2 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 1252 (0)            ; 1508 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:31:DotProduct_i                                                                                                                                                                                  ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 524.9 (524.9)        ; 732.4 (732.4)                    ; 207.5 (207.5)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 63 (63)             ; 1490 (1490)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:31:DotProduct_i|MCM:MCM_i                                                                                                                                                                        ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 417.7 (417.7)        ; 593.3 (593.3)                    ; 175.7 (175.7)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 1189 (1189)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:31:DotProduct_i|MOA:MOA_i                                                                                                                                                                        ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:32:DotProduct_i|                             ; 1624.3 (0.0)         ; 2277.3 (0.0)                     ; 653.1 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2848 (0)            ; 1891 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:32:DotProduct_i                                                                                                                                                                                  ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 722.1 (722.1)        ; 984.7 (984.7)                    ; 262.5 (262.5)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 227 (227)           ; 1873 (1873)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:32:DotProduct_i|MCM:MCM_i                                                                                                                                                                        ; MCM             ; work         ;
