; Compilation Hierarchy Node                                                      ; ALMs needed [=A-B+C] ; [A] ALMs used in final placement ; [B] Estimate of ALMs recoverable by dense packing ; [C] Estimate of ALMs unavailable ; ALMs used for memory ; Combinational ALUTs ; Dedicated Logic Registers ; I/O Registers ; Block Memory Bits ; DSP Blocks ; Pins ; Virtual Pins ; Full Hierarchy Name                                                                                                                                                                                                                                       ; Entity Name     ; Library Name ;
;       |TanhLayer:\DotProduct_loop:2:TanhLayer_i|                                ; 7.0 (7.0)            ; 7.0 (7.0)                        ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 14 (14)             ; 0 (0)                     ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TanhLayer:\DotProduct_loop:2:TanhLayer_i                                                                                                                                                                                     ; TanhLayer       ; work         ;
;       |TanhLayer:\DotProduct_loop:3:TanhLayer_i|                                ; 6.8 (6.8)            ; 6.8 (6.8)                        ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 14 (14)             ; 0 (0)                     ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TanhLayer:\DotProduct_loop:3:TanhLayer_i                                                                                                                                                                                     ; TanhLayer       ; work         ;
;       |TanhLayer:\DotProduct_loop:4:TanhLayer_i|                                ; 7.0 (7.0)            ; 7.0 (7.0)                        ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 14 (14)             ; 0 (0)                     ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TanhLayer:\DotProduct_loop:4:TanhLayer_i                                                                                                                                                                                     ; TanhLayer       ; work         ;
;       |TanhLayer:\DotProduct_loop:5:TanhLayer_i|                                ; 6.8 (6.8)            ; 6.8 (6.8)                        ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 14 (14)             ; 0 (0)                     ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TanhLayer:\DotProduct_loop:5:TanhLayer_i                                                                                                                                                                                     ; TanhLayer       ; work         ;
;       |TanhLayer:\DotProduct_loop:6:TanhLayer_i|                                ; 7.0 (7.0)            ; 7.0 (7.0)                        ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 14 (14)             ; 0 (0)                     ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TanhLayer:\DotProduct_loop:6:TanhLayer_i                                                                                                                                                                                     ; TanhLayer       ; work         ;
;       |TanhLayer:\DotProduct_loop:7:TanhLayer_i|                                ; 6.8 (6.8)            ; 6.8 (6.8)                        ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 14 (14)             ; 0 (0)                     ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TanhLayer:\DotProduct_loop:7:TanhLayer_i                                                                                                                                                                                     ; TanhLayer       ; work         ;
;       |TanhLayer:\DotProduct_loop:8:TanhLayer_i|                                ; 7.0 (7.0)            ; 7.0 (7.0)                        ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 14 (14)             ; 0 (0)                     ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TanhLayer:\DotProduct_loop:8:TanhLayer_i                                                                                                                                                                                     ; TanhLayer       ; work         ;
;       |TanhLayer:\DotProduct_loop:9:TanhLayer_i|                                ; 6.8 (6.8)            ; 6.8 (6.8)                        ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 14 (14)             ; 0 (0)                     ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TanhLayer:\DotProduct_loop:9:TanhLayer_i                                                                                                                                                                                     ; TanhLayer       ; work         ;
;       |TensorExtractor:TensorExtractor_i|                                       ; 286.5 (0.0)          ; 287.8 (0.0)                      ; 1.4 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 165 (0)             ; 512 (0)                   ; 0 (0)         ; 19872             ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TensorExtractor:TensorExtractor_i                                                                                                                                                                                            ; TensorExtractor ; work         ;
;          |neighExtractor:\neighExtractor_gen:0:SINGLE_CHANNEL:neighExtractor_0| ; 108.7 (53.9)         ; 109.2 (54.2)                     ; 0.5 (0.2)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 78 (35)             ; 184 (92)                  ; 0 (0)         ; 6624              ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:0:SINGLE_CHANNEL:neighExtractor_0                                                                                                                       ; neighExtractor  ; work         ;
;             |Taps:\taps_inst:0:gen_1:gen1_inst|                                 ; 15.9 (15.9)          ; 16.0 (16.0)                      ; 0.1 (0.1)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 0 (0)               ; 32 (32)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:0:SINGLE_CHANNEL:neighExtractor_0|Taps:\taps_inst:0:gen_1:gen1_inst                                                                                     ; Taps            ; work         ;
;             |Taps:\taps_inst:1:gen_i:geni_inst|                                 ; 30.9 (7.6)           ; 31.0 (7.7)                       ; 0.1 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 43 (0)              ; 44 (16)                   ; 0 (0)         ; 6624              ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:0:SINGLE_CHANNEL:neighExtractor_0|Taps:\taps_inst:1:gen_i:geni_inst                                                                                     ; Taps            ; work         ;
;                |altshift_taps:cell_rtl_0|                                       ; 23.3 (0.0)           ; 23.3 (0.0)                       ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 43 (0)              ; 28 (0)                    ; 0 (0)         ; 6624              ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:0:SINGLE_CHANNEL:neighExtractor_0|Taps:\taps_inst:1:gen_i:geni_inst|altshift_taps:cell_rtl_0                                                            ; altshift_taps   ; work         ;
;                   |shift_taps_i101:auto_generated|                              ; 23.3 (8.7)           ; 23.3 (8.7)                       ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 43 (16)             ; 28 (10)                   ; 0 (0)         ; 6624              ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:0:SINGLE_CHANNEL:neighExtractor_0|Taps:\taps_inst:1:gen_i:geni_inst|altshift_taps:cell_rtl_0|shift_taps_i101:auto_generated                             ; shift_taps_i101 ; work         ;
;                      |altsyncram_bmc1:altsyncram5|                              ; 0.0 (0.0)            ; 0.0 (0.0)                        ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 0 (0)               ; 0 (0)                     ; 0 (0)         ; 6624              ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:0:SINGLE_CHANNEL:neighExtractor_0|Taps:\taps_inst:1:gen_i:geni_inst|altshift_taps:cell_rtl_0|shift_taps_i101:auto_generated|altsyncram_bmc1:altsyncram5 ; altsyncram_bmc1 ; work         ;
;                      |cntr_5lf:cntr1|                                           ; 5.8 (5.8)            ; 5.8 (5.8)                        ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 11 (11)             ; 9 (9)                     ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:0:SINGLE_CHANNEL:neighExtractor_0|Taps:\taps_inst:1:gen_i:geni_inst|altshift_taps:cell_rtl_0|shift_taps_i101:auto_generated|cntr_5lf:cntr1              ; cntr_5lf        ; work         ;
;                      |cntr_p4h:cntr6|                                           ; 8.8 (8.8)            ; 8.8 (8.8)                        ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 16 (16)             ; 9 (9)                     ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:0:SINGLE_CHANNEL:neighExtractor_0|Taps:\taps_inst:1:gen_i:geni_inst|altshift_taps:cell_rtl_0|shift_taps_i101:auto_generated|cntr_p4h:cntr6              ; cntr_p4h        ; work         ;
;             |Taps:\taps_inst:2:gen_last:gen_last_inst|                          ; 8.0 (8.0)            ; 8.0 (8.0)                        ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 0 (0)               ; 16 (16)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:0:SINGLE_CHANNEL:neighExtractor_0|Taps:\taps_inst:2:gen_last:gen_last_inst                                                                              ; Taps            ; work         ;
;          |neighExtractor:\neighExtractor_gen:1:MULTI_CHANNEL:neighExtractor_i|  ; 89.0 (35.3)          ; 89.5 (35.5)                      ; 0.5 (0.2)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 43 (0)              ; 164 (72)                  ; 0 (0)         ; 6624              ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:1:MULTI_CHANNEL:neighExtractor_i                                                                                                                        ; neighExtractor  ; work         ;
;             |Taps:\taps_inst:0:gen_1:gen1_inst|                                 ; 15.7 (15.7)          ; 15.8 (15.8)                      ; 0.1 (0.1)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 0 (0)               ; 32 (32)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:1:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:0:gen_1:gen1_inst                                                                                      ; Taps            ; work         ;
;             |Taps:\taps_inst:1:gen_i:geni_inst|                                 ; 30.1 (7.8)           ; 30.2 (7.8)                       ; 0.1 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 43 (0)              ; 44 (16)                   ; 0 (0)         ; 6624              ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:1:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst                                                                                      ; Taps            ; work         ;
;                |altshift_taps:cell_rtl_0|                                       ; 22.3 (0.0)           ; 22.3 (0.0)                       ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 43 (0)              ; 28 (0)                    ; 0 (0)         ; 6624              ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:1:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst|altshift_taps:cell_rtl_0                                                             ; altshift_taps   ; work         ;
;                   |shift_taps_i101:auto_generated|                              ; 22.3 (8.5)           ; 22.3 (8.5)                       ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 43 (16)             ; 28 (10)                   ; 0 (0)         ; 6624              ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:1:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst|altshift_taps:cell_rtl_0|shift_taps_i101:auto_generated                              ; shift_taps_i101 ; work         ;
;                      |altsyncram_bmc1:altsyncram5|                              ; 0.0 (0.0)            ; 0.0 (0.0)                        ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 0 (0)               ; 0 (0)                     ; 0 (0)         ; 6624              ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:1:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst|altshift_taps:cell_rtl_0|shift_taps_i101:auto_generated|altsyncram_bmc1:altsyncram5  ; altsyncram_bmc1 ; work         ;
;                      |cntr_5lf:cntr1|                                           ; 5.3 (5.3)            ; 5.3 (5.3)                        ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 11 (11)             ; 9 (9)                     ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:1:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst|altshift_taps:cell_rtl_0|shift_taps_i101:auto_generated|cntr_5lf:cntr1               ; cntr_5lf        ; work         ;
;                      |cntr_p4h:cntr6|                                           ; 8.5 (8.5)            ; 8.5 (8.5)                        ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 16 (16)             ; 9 (9)                     ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:1:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst|altshift_taps:cell_rtl_0|shift_taps_i101:auto_generated|cntr_p4h:cntr6               ; cntr_p4h        ; work         ;
;             |Taps:\taps_inst:2:gen_last:gen_last_inst|                          ; 8.0 (8.0)            ; 8.0 (8.0)                        ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 0 (0)               ; 16 (16)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:1:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:2:gen_last:gen_last_inst                                                                               ; Taps            ; work         ;
;          |neighExtractor:\neighExtractor_gen:2:MULTI_CHANNEL:neighExtractor_i|  ; 88.7 (36.1)          ; 89.2 (36.3)                      ; 0.4 (0.2)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 44 (1)              ; 164 (72)                  ; 0 (0)         ; 6624              ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:2:MULTI_CHANNEL:neighExtractor_i                                                                                                                        ; neighExtractor  ; work         ;
;             |Taps:\taps_inst:0:gen_1:gen1_inst|                                 ; 14.1 (14.1)          ; 14.2 (14.2)                      ; 0.1 (0.1)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 0 (0)               ; 32 (32)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:2:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:0:gen_1:gen1_inst                                                                                      ; Taps            ; work         ;
;             |Taps:\taps_inst:1:gen_i:geni_inst|                                 ; 30.6 (7.6)           ; 30.7 (7.7)                       ; 0.1 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 43 (0)              ; 44 (16)                   ; 0 (0)         ; 6624              ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:2:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst                                                                                      ; Taps            ; work         ;
;                |altshift_taps:cell_rtl_0|                                       ; 23.0 (0.0)           ; 23.0 (0.0)                       ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 43 (0)              ; 28 (0)                    ; 0 (0)         ; 6624              ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:2:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst|altshift_taps:cell_rtl_0                                                             ; altshift_taps   ; work         ;
;                   |shift_taps_i101:auto_generated|                              ; 23.0 (8.8)           ; 23.0 (8.8)                       ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 43 (16)             ; 28 (10)                   ; 0 (0)         ; 6624              ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:2:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst|altshift_taps:cell_rtl_0|shift_taps_i101:auto_generated                              ; shift_taps_i101 ; work         ;
;                      |altsyncram_bmc1:altsyncram5|                              ; 0.0 (0.0)            ; 0.0 (0.0)                        ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 0 (0)               ; 0 (0)                     ; 0 (0)         ; 6624              ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:2:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst|altshift_taps:cell_rtl_0|shift_taps_i101:auto_generated|altsyncram_bmc1:altsyncram5  ; altsyncram_bmc1 ; work         ;
;                      |cntr_5lf:cntr1|                                           ; 5.5 (5.5)            ; 5.5 (5.5)                        ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 11 (11)             ; 9 (9)                     ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:2:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst|altshift_taps:cell_rtl_0|shift_taps_i101:auto_generated|cntr_5lf:cntr1               ; cntr_5lf        ; work         ;
;                      |cntr_p4h:cntr6|                                           ; 8.6 (8.6)            ; 8.7 (8.7)                        ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 16 (16)             ; 9 (9)                     ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:2:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst|altshift_taps:cell_rtl_0|shift_taps_i101:auto_generated|cntr_p4h:cntr6               ; cntr_p4h        ; work         ;
;             |Taps:\taps_inst:2:gen_last:gen_last_inst|                          ; 8.0 (8.0)            ; 8.0 (8.0)                        ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 0 (0)               ; 16 (16)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:2:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:2:gen_last:gen_last_inst                                                                               ; Taps            ; work         ;
;    |DisplayLayer:DisplayLayer_i|                                                ; 20.3 (20.3)          ; 20.3 (20.3)                      ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 40 (40)             ; 0 (0)                     ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|DisplayLayer:DisplayLayer_i                                                                                                                                                                                                                  ; DisplayLayer    ; work         ;
;    |InputLayer:InputLayer_i|                                                    ; 2.7 (2.7)            ; 2.7 (2.7)                        ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 10 (10)             ; 0 (0)                     ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|InputLayer:InputLayer_i                                                                                                                                                                                                                      ; InputLayer      ; work         ;
;    |PoolLayer:pool1|                                                            ; 26779.4 (0.0)        ; 26946.5 (0.0)                    ; 167.1 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 238 (0)             ; 53930 (0)                 ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1                                                                                                                                                                                                                              ; PoolLayer       ; work         ;
;       |maxPool:\generate_maxPool:0:first_maxpool:maxPool_0|                     ; 1706.0 (0.0)         ; 1716.5 (0.0)                     ; 10.5 (0.0)                                        ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 72 (0)              ; 3410 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:0:first_maxpool:maxPool_0                                                                                                                                                                          ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 26.8 (26.8)          ; 26.8 (26.8)                      ; 0.1 (0.1)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 27 (27)             ; 45 (45)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:0:first_maxpool:maxPool_0|poolH:poolh_inst                                                                                                                                                         ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 1679.2 (1679.2)      ; 1689.7 (1689.7)                  ; 10.5 (10.5)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 45 (45)             ; 3365 (3365)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:0:first_maxpool:maxPool_0|poolV:poolv_inst                                                                                                                                                         ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:10:other_maxPool:maxPool_i|                    ; 1670.9 (0.0)         ; 1681.3 (0.0)                     ; 10.4 (0.0)                                        ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 11 (0)              ; 3368 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:10:other_maxPool:maxPool_i                                                                                                                                                                         ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 14.4 (14.4)          ; 14.5 (14.5)                      ; 0.1 (0.1)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 5 (5)               ; 24 (24)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:10:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                        ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 1656.4 (1656.4)      ; 1666.8 (1666.8)                  ; 10.4 (10.4)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 6 (6)               ; 3344 (3344)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:10:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                        ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:11:other_maxPool:maxPool_i|                    ; 1672.1 (0.0)         ; 1682.5 (0.0)                     ; 10.4 (0.0)                                        ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 11 (0)              ; 3368 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:11:other_maxPool:maxPool_i                                                                                                                                                                         ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 14.4 (14.4)          ; 14.5 (14.5)                      ; 0.1 (0.1)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 5 (5)               ; 24 (24)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:11:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                        ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 1657.6 (1657.6)      ; 1668.0 (1668.0)                  ; 10.4 (10.4)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 6 (6)               ; 3344 (3344)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:11:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                        ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:12:other_maxPool:maxPool_i|                    ; 1671.2 (0.0)         ; 1681.7 (0.0)                     ; 10.4 (0.0)                                        ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 11 (0)              ; 3368 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:12:other_maxPool:maxPool_i                                                                                                                                                                         ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 14.4 (14.4)          ; 14.5 (14.5)                      ; 0.1 (0.1)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 5 (5)               ; 24 (24)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:12:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                        ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 1656.8 (1656.8)      ; 1667.2 (1667.2)                  ; 10.4 (10.4)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 6 (6)               ; 3344 (3344)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:12:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                        ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:13:other_maxPool:maxPool_i|                    ; 1671.4 (0.0)         ; 1681.8 (0.0)                     ; 10.4 (0.0)                                        ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 11 (0)              ; 3368 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:13:other_maxPool:maxPool_i                                                                                                                                                                         ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 14.4 (14.4)          ; 14.5 (14.5)                      ; 0.1 (0.1)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 5 (5)               ; 24 (24)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:13:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                        ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 1656.9 (1656.9)      ; 1667.3 (1667.3)                  ; 10.4 (10.4)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 6 (6)               ; 3344 (3344)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:13:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                        ; poolV           ; work         ;
