; Compilation Hierarchy Node                                                      ; ALMs needed [=A-B+C] ; [A] ALMs used in final placement ; [B] Estimate of ALMs recoverable by dense packing ; [C] Estimate of ALMs unavailable ; ALMs used for memory ; Combinational ALUTs ; Dedicated Logic Registers ; I/O Registers ; Block Memory Bits ; DSP Blocks ; Pins ; Virtual Pins ; Full Hierarchy Name                                                                                                                                                                                                                                       ; Entity Name     ; Library Name ;
;          |MOA:MOA_i|                                                            ; 333.1 (333.1)        ; 333.3 (333.3)                    ; 0.2 (0.2)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 574 (574)           ; 651 (651)                 ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|DotProduct:\DotProduct_loop:12:DotProduct_i|MOA:MOA_i                                                                                                                                                                        ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:13:DotProduct_i|                             ; 415.1 (0.0)          ; 415.5 (0.0)                      ; 0.4 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 723 (0)             ; 797 (0)                   ; 0 (0)         ; 0                 ; 11         ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|DotProduct:\DotProduct_loop:13:DotProduct_i                                                                                                                                                                                  ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 79.6 (79.6)          ; 79.7 (79.7)                      ; 0.1 (0.1)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 145 (145)           ; 139 (139)                 ; 0 (0)         ; 0                 ; 11         ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|DotProduct:\DotProduct_loop:13:DotProduct_i|MCM:MCM_i                                                                                                                                                                        ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 335.6 (335.6)        ; 335.8 (335.8)                    ; 0.2 (0.2)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 578 (578)           ; 658 (658)                 ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|DotProduct:\DotProduct_loop:13:DotProduct_i|MOA:MOA_i                                                                                                                                                                        ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:14:DotProduct_i|                             ; 422.9 (0.0)          ; 423.2 (0.0)                      ; 0.3 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 757 (0)             ; 815 (0)                   ; 0 (0)         ; 0                 ; 6          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|DotProduct:\DotProduct_loop:14:DotProduct_i                                                                                                                                                                                  ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 94.0 (94.0)          ; 94.2 (94.2)                      ; 0.2 (0.2)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 160 (160)           ; 173 (173)                 ; 0 (0)         ; 0                 ; 6          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|DotProduct:\DotProduct_loop:14:DotProduct_i|MCM:MCM_i                                                                                                                                                                        ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 328.9 (328.9)        ; 329.0 (329.0)                    ; 0.1 (0.1)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 597 (597)           ; 642 (642)                 ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|DotProduct:\DotProduct_loop:14:DotProduct_i|MOA:MOA_i                                                                                                                                                                        ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:15:DotProduct_i|                             ; 415.2 (0.0)          ; 415.7 (0.0)                      ; 0.4 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 737 (1)             ; 764 (0)                   ; 0 (0)         ; 0                 ; 10         ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|DotProduct:\DotProduct_loop:15:DotProduct_i                                                                                                                                                                                  ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 83.8 (83.8)          ; 84.0 (84.0)                      ; 0.2 (0.2)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 163 (163)           ; 113 (113)                 ; 0 (0)         ; 0                 ; 10         ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|DotProduct:\DotProduct_loop:15:DotProduct_i|MCM:MCM_i                                                                                                                                                                        ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 331.4 (331.4)        ; 331.7 (331.7)                    ; 0.2 (0.2)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 573 (573)           ; 651 (651)                 ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|DotProduct:\DotProduct_loop:15:DotProduct_i|MOA:MOA_i                                                                                                                                                                        ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:1:DotProduct_i|                              ; 398.9 (0.0)          ; 399.2 (0.0)                      ; 0.3 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 729 (0)             ; 754 (0)                   ; 0 (0)         ; 0                 ; 14         ; 0    ; 0            ; |cnn_process|ConvLayer:conv1|DotProduct:\DotProduct_loop:1:DotProduct_i                                                                                                                                                                                   ; DotProduct      ; work         ;
